,sales,Predicted_sales
1850,3,2.967513172977634
368,2,1.9675131729776345
1131,6,6.117672484108962
1159,8,7.9355797485080375
1427,169,163.09085846774354
2240,20,20.707976517442436
894,3,2.9239784043338397
1436,4,3.967513172977634
1695,103,103.03268964781508
2206,1,0.9675131729776343
202,32,31.32192744262646
2045,21,20.707976517442436
1484,8,7.9791145171518325
584,11,11.006143007590468
2108,47,46.08459039295188
1550,119,121.85361252602593
479,2,1.9675131729776345
743,14,13.991771503626302
1256,19,17.902143175947916
174,6,6.117672484108962
1536,18,17.902143175947916
16,2,1.9675131729776345
746,9,9.382215292345638
1437,5,4.978114727658039
2083,1,0.9239784043338402
606,24,23.117698739664654
1748,4,3.967513172977634
155,4,3.967513172977634
1592,10,9.382215292345638
823,15,15.407517907473133
1291,41,40.89636947036693
1435,15,15.407517907473133
550,9,9.382215292345638
1405,4,3.967513172977634
973,5,4.311563527502261
1210,10,9.338680523701845
547,84,94.98346455899589
717,3,2.9239784043338397
325,5,4.978114727658039
1530,13,12.51409655690993
520,26,25.372531879769774
544,151,145.41598908287236
1724,36,35.44022274130813
2274,3,2.967513172977634
745,8,7.9791145171518325
1652,1,0.9675131729776343
733,22,23.43725700993694
1591,12,12.470561788266137
2128,6,6.117672484108962
1457,32,31.32192744262646
350,1,0.9675131729776343
386,81,79.474064015091
1837,24,23.117698739664654
1088,5,4.978114727658039
556,14,13.991771503626302
1585,189,190.86166523443538
741,6,6.117672484108962
1936,3,2.967513172977634
1407,2,1.9675131729776345
514,16,15.407517907473133
1209,2,1.9675131729776345
1856,9,9.382215292345638
1897,3,2.967513172977634
1721,33,33.25770281287578
761,17,17.902143175947916
1351,7,6.982577230974831
270,48,48.74890887338976
1335,39,38.080627475579654
2153,19,17.902143175947916
553,5,4.978114727658039
922,2,1.9675131729776345
86,2,1.9675131729776345
1440,2,1.9675131729776345
559,6,6.117672484108962
1503,23,23.117698739664654
1567,9,9.382215292345638
1263,36,34.82230757822192
58,33,33.25770281287578
1885,2,1.9675131729776345
1337,34,33.25770281287578
1043,22,23.117698739664654
869,11,11.006143007590468
2086,11,11.006143007590468
2021,173,168.26658602267517
1948,30,28.767215827624053
847,27,25.41606664841357
1580,15,15.36398313882934
710,76,72.83577682329516
2123,30,29.765657486011957
164,43,43.569618486879925
1494,3,2.967513172977634
1169,15,15.407517907473133
370,10,9.382215292345638
2180,16,15.407517907473133
856,4,3.9239784043338397
1905,4,3.967513172977634
2268,29,29.765657486011957
817,28,29.765657486011957
1365,4,3.967513172977634
1515,16,15.407517907473133
438,5,4.978114727658039
500,8,7.9791145171518325
97,60,62.169679866534814
797,16,15.407517907473133
1070,19,17.902143175947916
375,17,17.902143175947916
1832,2,1.9675131729776345
1991,10,9.338680523701845
976,16,15.407517907473133
1970,103,111.73289367701516
684,34,33.25770281287578
1409,3,2.967513172977634
397,5,4.978114727658039
2009,28,29.765657486011957
233,29,29.765657486011957
1408,10,9.382215292345638
